time,1,5,10,15,25,35,50,60,75,100,125,150,200,250,300,470,500
03/15,29.354708,29.284971,29.230833,29.226425,29.214226,29.17857,29.182375,29.077293,28.745457,27.986303,26.682108,24.789251,18.797083,13.047127,11.523469,8.84,8.69051
03/16,29.337315,29.267004,29.251984,29.254644,29.214958,29.226154,29.165733,29.114399,28.713848,28.046589,26.758139,24.729153,18.895376,12.985366,11.514593,8.85,8.693219
03/17,29.416296,29.386423,29.355705,29.321045,29.302412,29.28225,29.244051,29.165188,28.793398,28.12367,26.838686,24.72882,18.747667,12.845147,11.525321,9.29,8.763675
03/18,29.292328,29.415123,29.382765,29.368029,29.239443,29.37289,29.180422,29.217434,28.85164,28.170076,26.864286,24.831625,18.961918,13.005313,11.586091,9.34,8.750121
03/19,29.310942,29.496105,29.459324,29.443989,29.257385,29.414227,29.188694,29.31393,28.84807,28.144482,26.810707,24.773745,18.739325,12.988307,11.620597,9.36,8.67371
03/20,29.327618,29.516932,29.478756,29.465517,29.27261,29.446047,29.198421,29.320045,28.844086,28.1645,26.809692,24.730593,18.747938,12.970276,11.591487,9.45,8.651358
03/21,29.35482,29.455656,29.431248,29.425402,29.324158,29.46013,29.333899,29.36493,28.880112,28.201565,26.927124,24.934132,18.76143,13.076869,11.608572,9.35,8.687496
03/22,29.38479,29.502071,29.482197,29.474945,29.355288,29.490826,29.303827,29.387127,28.886171,28.178629,27.014183,25.072609,18.723783,13.019668,11.561467,9.36,8.709836
03/23,29.420298,29.582136,29.563042,29.553446,29.386879,29.552452,29.340298,29.49845,28.924068,28.165401,27.043892,24.999071,18.776295,12.923329,11.518864,9.36,8.723039
03/24,29.420155,29.54243,29.526726,29.521248,29.37746,29.39746,29.314634,29.166695,28.92749,28.21794,27.138166,25.083143,18.998163,13.045306,11.57659,9.35,8.693379
03/25,29.349323,29.368069,29.319117,29.283213,29.310507,29.158525,29.258335,29.040066,28.836306,28.225983,27.061092,24.944248,18.894793,13.045853,11.522798,9.24,8.647094
03/26,29.296812,29.303005,29.28962,29.274326,29.289906,29.156723,29.20936,29.034378,28.901596,28.259604,27.023115,24.842627,18.837324,12.906227,11.510713,9.44,8.670222
03/27,29.293531,29.277697,29.278214,29.280388,29.31679,29.212101,29.209778,28.995033,28.841425,28.143719,26.770384,24.770172,18.803965,12.90962,11.534931,9.43,8.740004
03/28,29.3067,29.358665,29.34505,29.339155,29.313293,29.295506,29.29746,29.135056,28.867464,28.175951,26.767752,24.800467,19.016087,12.957056,11.541241,9.19,8.673535
03/29,29.327053,29.375565,29.341034,29.330181,29.35304,29.298962,29.377773,29.239445,28.8687,28.128216,26.815168,24.859724,18.999468,12.8170395,11.520851,9.21,8.653546
03/30,29.34862,29.388382,29.338688,29.327684,29.351868,29.305187,29.393677,29.276047,28.853937,28.120161,26.871529,24.932272,18.652987,12.863175,11.534659,9.3,8.711122
03/31,29.40586,29.419277,29.340126,29.312897,29.350138,29.303732,29.387747,29.304466,28.816294,28.054453,26.811275,24.757538,18.506882,12.902444,11.535011,9.31,8.6913595
04/01,29.451488,29.411034,29.349216,29.32377,29.35628,29.257544,29.349424,29.204615,28.797953,28.066956,26.91762,24.680252,18.678417,12.879558,11.552885,9.21,8.6725025
04/02,29.446005,29.245417,29.213768,29.209751,29.372803,29.124264,29.34769,29.056854,28.857069,28.097345,26.869371,24.707155,18.462015,12.838232,11.546568,9.27,8.697641
04/03,29.508802,29.300144,29.242052,29.211258,29.3931,29.121243,29.357063,28.948112,28.833284,28.11302,26.89478,24.657282,18.40001,12.843027,11.497634,9.23,8.657438
04/04,29.477308,29.37019,29.34618,29.334368,29.413065,29.217003,29.327341,28.92234,28.821396,28.218542,26.977345,24.764132,18.339264,12.87488,11.499666,9.36,8.646335
04/05,29.513536,29.402817,29.375847,29.367706,29.44847,29.226128,29.356901,28.993452,28.773592,28.202805,26.91688,24.785107,18.541626,12.8677845,11.498357,9.05,8.617217
04/06,29.458794,29.534931,29.478134,29.457987,29.407164,29.341555,29.33614,29.086079,28.812859,28.241089,27.084501,24.774721,18.650242,12.851984,11.538743,9.04,8.688945
04/07,29.494368,29.599936,29.570053,29.5566,29.370914,29.528118,29.310997,29.351189,28.88524,28.297934,27.071512,24.810152,18.672321,12.849441,11.505235,9.26,8.672466
