time,1,5,8,10,13,15,20,25,28,30,31,35,40,45,48,50,51,55,60,80,83,100,120,123,140,180,200,300,500
03/08,26.431108,25.751469,,25.430452,23.493332,24.239294,23.574219,23.122375,23.465,,19.418694,18.775637,19.797426,20.747972,20.136667,,17.415115,17.07799,18.868267,16.82668,16.933332,15.235475,14.259018,14.653333,13.688995,13.093839,12.849999,11.466801,8.081498
03/09,26.569685,25.920847,,25.471548,24.263334,24.101976,23.561396,22.98835,22.630001,,19.221693,18.804941,19.872465,20.74118,19.336668,,17.505089,17.234913,18.833693,16.840168,15.643333,15.281414,14.210296,14.226666,13.658258,13.081495,12.831429,11.609261,8.129429
03/10,26.488722,25.959885,,25.326513,24.083334,24.12556,23.650818,23.087456,22.720001,,19.58611,18.858517,20.085682,20.670221,18.736666,,17.844124,17.377344,19.123377,16.927874,15.746666,15.253177,14.246415,14.393333,13.69554,13.138942,12.771429,11.653806,8.136601
03/11,26.366858,25.871881,,25.372322,24.13,24.168848,23.714851,23.251413,23.29,,20.548592,19.860765,20.425556,20.613579,18.933332,,18.19188,17.712435,19.158663,16.699387,16.539999,15.203287,14.250802,14.773334,13.771853,13.192821,12.76,11.670984,8.112861
03/12,26.440176,25.818111,,25.2797,24.06,24.845858,23.585493,23.243301,23.275,,23.445354,23.16324,20.514135,20.753565,19.460001,,21.7537,21.26461,19.256252,16.67439,17.15,15.2007475,14.2601795,14.826667,13.804184,13.214897,12.758571,11.6897955,8.081024
03/13,26.55325,25.95017,,25.378164,24.016668,24.496195,23.585133,23.26116,23.525,,23.337936,23.0739,20.668922,20.858944,20.033333,,21.451973,21.01478,19.319483,16.90401,17.596666,15.444752,14.375568,15.056666,13.872396,13.249652,12.812858,11.74306,8.086503
03/14,26.566341,25.954678,,25.383116,24.409998,25.369646,23.814812,23.397625,23.27,,23.539234,23.071102,20.360943,20.647696,19.960001,,21.357307,20.771809,19.281946,17.021204,17.863333,15.387185,14.354679,14.966667,13.827797,13.261978,12.778571,11.723571,8.0885105
03/15,26.520952,25.83523,,25.386202,24.463333,25.356535,23.88274,23.346216,23.02,,23.253643,22.820229,20.394817,20.623362,18.055,,20.449535,19.76934,19.150839,16.854626,17.873335,15.231254,14.316409,14.07,13.69689,13.2177925,12.818572,11.781243,8.090916
03/16,26.490225,25.810268,,25.335592,24.383333,25.880827,23.954765,23.47216,23.58,,24.360518,24.013762,21.156004,20.743698,18.715,,22.34237,21.497284,19.160023,16.712315,17.666666,15.310723,14.343182,14.0,13.7519,13.284877,12.82,11.797617,8.083242
03/17,26.506678,25.935871,,25.362963,24.213333,26.10248,24.02458,23.629656,23.8,,24.723978,24.41964,21.562035,21.100384,18.35,,22.009909,20.9728,19.339315,16.794508,17.62,15.334558,14.366164,14.005,13.747139,13.240298,12.788572,11.672844,8.060942
03/18,26.393126,26.10693,,25.547028,24.5,26.07249,24.182161,23.85663,24.02,,24.678246,24.194136,21.57607,21.139439,16.869999,,21.14379,20.290113,19.508898,16.893185,16.62,15.195466,14.333133,13.844999,13.803545,13.186298,12.92,11.717177,8.134529
03/19,26.40905,26.128277,,25.591068,24.453333,26.055742,24.181755,23.857283,23.99,,25.477163,25.132465,21.581139,20.868555,16.45,,23.035206,22.438385,19.429712,16.694477,16.406668,15.106268,14.212463,13.66,13.775299,13.175482,12.918571,11.671976,8.100139
03/20,26.506287,26.137241,,25.638414,24.746668,25.96468,24.218662,23.706427,23.565,,24.934502,24.492212,21.512505,20.733795,16.384998,,22.984863,22.463713,19.443094,16.692587,16.77,15.10389,14.180343,13.805,13.784343,13.207394,12.851428,11.778094,8.128351
03/21,26.498457,26.12972,,25.703297,24.926666,25.931734,24.334208,23.681374,24.57,,24.966211,24.579456,21.870874,20.902288,17.73,,22.195885,21.644934,19.498823,16.841637,16.953333,15.160972,14.244029,13.84,13.800131,13.273133,12.79,11.776198,8.115186
03/22,26.51441,26.127716,,25.690386,24.843332,25.69782,24.205248,23.564142,24.41,,23.92832,23.315472,21.43502,20.762459,16.720001,,20.718641,20.497059,19.26405,16.686037,16.980001,15.133839,14.21691,13.71,13.739133,13.280589,12.892858,11.754807,8.065277
03/23,26.57551,26.099176,,25.70256,24.470001,26.022764,23.979021,23.530909,23.630001,,25.074278,24.703863,21.208616,20.668314,15.93,,22.103771,21.298273,18.964298,16.65204,16.776667,15.073121,14.211276,13.625,13.727708,13.248408,12.922857,11.653671,8.05611
03/24,26.551077,26.077179,,25.705664,24.933334,26.07103,24.135693,23.780779,23.65,,24.996727,24.46033,21.230797,20.785902,16.93,,21.169374,20.59388,19.15177,16.925508,16.346666,15.1313715,14.23225,13.67,13.728122,13.16309,12.961428,11.692634,8.083364
03/25,26.518744,26.149836,,25.686087,25.46,26.094666,24.249126,23.843306,26.72,,25.250519,24.827446,21.46139,21.057547,18.7,,22.597439,21.93595,19.449318,16.932518,16.43,15.393182,14.375832,14.01,13.867297,13.216691,12.964286,11.81333,8.097429
03/26,26.55814,26.17222,,25.664612,25.025,26.110281,24.178787,23.92821,26.81,,25.330996,24.985418,21.471476,21.181173,19.07,,22.525274,21.967033,19.486593,17.157946,17.75,15.479796,14.4021635,14.0,13.851821,13.21732,12.832857,11.824505,8.126947
03/27,26.500093,26.021505,,25.683376,24.006668,26.090603,24.2366,23.897133,24.2,,24.842651,24.305838,21.679617,20.960684,18.765,,21.77057,21.286688,19.743095,17.237143,17.813334,15.485124,14.439495,14.04,13.841022,13.210232,12.8,11.800284,8.113991
03/28,26.60975,26.234444,,25.71127,25.2,25.90131,24.289202,23.965954,27.27,,24.106037,23.418772,21.568789,20.821566,16.92,,21.17791,20.576916,19.649576,17.256838,18.34,15.5275545,14.400654,13.45,13.807654,13.184713,12.802857,11.800577,8.122961
03/29,26.755272,26.360147,,25.8381,24.955002,26.104548,24.263481,24.000456,27.21,,24.543953,23.740232,21.431578,20.830301,16.2,,21.061497,20.758783,19.551764,17.058739,16.51,15.421653,14.389954,13.35,13.78397,13.190212,12.849999,11.756759,8.098617
03/30,26.6186,26.13641,,25.889456,24.49,25.982681,24.42327,24.021265,24.5,,24.68814,23.593254,21.405052,20.826876,17.66,,19.844828,19.236572,19.334545,16.856693,16.556665,15.357813,14.374654,13.615,13.784882,13.158663,12.981429,11.789389,8.116414
03/31,26.559416,26.075329,,25.873068,24.74,26.19704,24.507154,24.109081,23.78,,25.153997,24.65793,21.37238,20.538551,17.42,,20.937078,20.442934,19.263084,16.935942,16.773333,15.448762,14.424857,13.860001,13.805411,13.197065,13.0271435,11.910498,8.148784
04/01,26.585682,26.17371,,25.942463,25.265,26.326103,24.362268,23.914742,26.92,,25.605206,25.267656,21.27117,20.667986,15.9,,21.80814,20.802305,19.090225,16.890867,16.97,15.438301,14.47628,13.89,13.832218,13.227241,13.024285,11.946337,8.195995
04/02,26.542448,26.157434,,25.954212,24.395,26.556423,24.07133,23.646555,27.05,,25.70815,25.140486,20.70875,20.375076,15.67,,20.091,19.026669,18.764452,16.72331,17.305,15.3795,14.49761,13.95,13.87739,13.240081,13.0128565,11.889149,8.197002
04/03,26.54864,26.254513,,26.011969,24.6,26.715979,24.244213,23.63527,26.84,,25.19424,23.794792,20.68706,20.399256,15.52,,18.27128,17.66416,18.977957,16.821405,17.3,15.418591,14.536334,14.04,13.901825,13.257564,13.14,11.914215,8.180778
04/04,26.600039,26.27088,,25.939224,25.05,26.93351,24.382404,23.684309,26.92,,22.131165,21.001753,20.67026,20.538845,15.62,,17.432152,16.99177,19.245022,17.016487,18.05,15.529176,14.647626,14.45,13.936675,13.261909,13.117143,11.924636,8.181556
04/05,26.607006,26.133066,,25.859936,24.673332,26.543184,24.096317,23.426218,25.055,,21.430119,20.389452,20.477581,20.474112,17.615,,17.360462,17.013712,19.094936,16.803679,17.0,15.40955,14.587622,14.37,13.892914,13.270988,13.055715,11.893094,8.209112
04/06,26.505474,26.062607,,25.751593,24.43,26.111507,24.044779,23.536524,26.96,,21.076649,20.19583,20.529238,20.539034,15.33,,17.699745,17.323938,18.957016,16.733198,16.915,15.324383,14.530042,13.79,13.91475,13.282831,13.125714,11.928991,8.237949
04/07,26.456457,25.97723,,25.654861,25.375,26.157244,24.053694,23.466305,26.77,,21.603083,20.7501,20.561346,20.6428,15.14,,18.010132,17.676716,18.96439,16.723015,16.735,15.244385,14.507904,13.75,13.975141,13.272135,13.242858,11.938158,8.195396
04/08,26.535635,25.958696,,25.831324,25.519999,25.801949,24.057713,23.499752,24.395,,21.268402,20.171654,20.55301,20.669834,17.58,,18.63763,18.577837,19.066738,16.748207,16.163334,15.244148,14.468642,14.235001,13.961664,13.252226,13.211429,12.003915,8.15299
04/09,26.59115,26.02351,,25.821959,26.564999,25.553125,24.118366,23.653744,26.7,,21.246275,20.343733,20.650492,20.7272,16.79,,18.832556,18.727985,19.225285,16.840305,16.29,15.415725,14.5184145,13.98,13.970767,13.281364,13.192857,11.925466,8.187872
