time,1,3,5,10,13,20,25,28,35,40,45,48,60,80,83,100,120,123,140,160,180,200,250,300,500
02/02,25.460817,26.869999,25.307169,25.471287,25.080002,25.18248,25.246542,24.18,25.95,24.93381,24.996128,23.93,24.375793,23.425957,21.800001,21.181322,18.444834,15.65,16.857712,,13.7628145,13.463333,12.06,11.610396,7.921639
02/03,25.489254,26.945,25.348171,25.497501,25.199999,25.171333,25.241163,24.2975,25.84,24.907604,25.037148,24.095999,24.338055,23.53733,22.050001,21.303677,18.722424,15.679999,16.990292,,14.01677,13.316667,12.0,11.637321,7.936935
02/04,25.51127,27.235,25.327324,25.51292,25.216667,25.114,25.2364,24.352499,25.92,24.822836,24.97982,23.998001,24.4312,23.728916,21.953333,21.388235,18.878778,15.655001,17.029078,,13.955634,13.19125,12.01,11.679728,7.9593997
02/05,25.518076,27.24,25.299349,25.5258,25.04,25.008032,25.246529,24.494999,25.89,24.830544,24.973045,24.214,24.50672,23.493492,22.313334,21.647184,18.773117,16.0625,17.069613,,13.932411,13.2375,11.99,11.565602,7.95734
02/06,25.518948,27.23,25.287373,25.49357,24.953333,24.989407,25.198656,24.317501,25.64,24.796783,24.95256,24.222,24.570951,23.54048,22.743334,21.567804,18.61267,16.8,16.796904,,13.842147,13.30625,12.08,11.595738,7.9613323
02/07,25.49885,27.34,25.269053,25.474104,24.926666,24.956121,25.172155,24.17,25.46,24.727562,24.844023,24.05,24.450945,23.313921,22.763334,21.27935,18.27129,16.7975,16.577446,,13.722755,13.24,12.12,11.5442915,7.9690437
02/08,25.530138,27.51,25.288326,25.507633,25.043333,25.005587,25.249678,24.1675,25.75,24.871729,24.92572,24.054,24.629578,23.497257,22.54,21.456299,18.502014,17.3225,16.632908,,13.778942,13.2,12.17,11.549014,7.9724793
02/09,25.592487,27.555,25.299648,25.520191,25.080002,25.026224,25.281801,24.11,25.65,24.912823,25.032461,24.156,24.729256,23.60846,22.243332,21.375557,18.701035,16.875,16.906399,,13.7015,13.32125,12.23,11.550621,7.9925346
02/10,25.649807,27.58,25.361874,25.57527,25.11,25.098944,25.330534,24.154999,25.55,24.98072,25.102816,24.138,24.74557,23.40869,22.230001,21.31377,18.719013,16.885,16.999102,,13.796904,13.47375,12.23,11.571342,7.990378
02/11,25.725292,27.59,25.444044,25.658009,25.230001,25.206846,25.418478,24.1675,25.58,25.059303,25.141424,24.289999,24.772924,23.33268,23.04,21.327297,18.43339,17.2325,16.809069,,13.653714,13.345,12.19,11.601753,7.9828672
